,Price,Open,High,Low,Vol.,Change %
2021-02-12,1822.0,1824.5,1830.0,1810.0,1.6,-0.002
2021-02-13,1822.0,1824.5,1830.0,1810.0,1.6,-0.002
2021-02-14,1822.0,1824.5,1830.0,1810.0,1.6,-0.002
2021-02-15,1799.0,1826.0,1827.1,1788.1,355.92,-0.0126
2021-02-16,1797.9,1825.0,1825.2,1787.6,1.54,-0.0006
2021-02-17,1771.8,1789.2,1792.6,1767.7,1.02,-0.014499999999999999
2021-02-18,1774.0,1776.2,1787.6,1765.9,0.62,0.0012
2021-02-19,1776.3,1772.7,1789.0,1759.4,1.79,0.0013
2021-02-20,1776.3,1772.7,1789.0,1759.4,1.79,0.0013
2021-02-21,1776.3,1772.7,1789.0,1759.4,1.79,0.0013
2021-02-22,1807.2,1785.0,1809.9,1779.5,1.73,0.0174
2021-02-23,1804.8,1809.4,1813.0,1795.0,1.02,-0.0013
